編號,AREA,112迄今各里人口數按年齡分_cleaned_65_up,Area-2
"73",1639820.32002,"2368",786387.060895886
"73",2424148.19516,"1188",75049.5365092125
"96",320963.70455,"1415",68517.3636605539
"96",701027.99826,"1182",617848.097811719
"96",556802.69124,"1750",454482.56381795
"96",151473.06856,,326.245162718
"96",172226.88332,"990",43444.4704230593
"3",310452.82162,"1502",154837.840658588
"3",210722.32416,"1162",72813.0593641313
"3",288830.38208,"1218",288605.083431089
"3",443137.12492,"1364",21458.9446794717
"3",601884.47481,"1197",295517.618452237
"75",2711620.92731,"1406",341477.663154827
"75",3889644.71708,"1145",267924.632594557
"75",1639820.32002,"2368",509738.458139415
"82",1639820.32002,"2368",210450.380727015
"74",1210071.19459,"761",14395.3459135024
"74",1081567.50776,"1138",1012061.6044922
"74",1176094.5324,"1166",562349.818764326
"74",106515.53759,"1218",3167.1778676894
"74",505716.57444,"860",186987.57118273
"74",756511.15768,"807",118705.871099092
"94",322224.17755,"719",50535.4984327499
"94",314028.07755,"773",48819.7502407786
"94",224540.10144,"1248",211863.283995646
"94",178001.28242,"868",178025.477257154
"94",308617.76635,"1363",308016.111382385
"94",139047.99298,"885",139066.88977667
"94",320963.70455,"1415",17664.8052007956
"94",605005.69464,"246",26462.3874739409
"94",123617.91376,"1774",123629.977664836
"94",112487.98786,"1310",37198.7246136891
"94",111509.79071,"911",53744.3946719549
"94",105336.1534,"1220",42099.8727874188
"79",427734.12673,"1517",14994.0332691076
"79",505716.57444,"860",94253.3980318927
"79",100568.22368,"836",43241.5808850597
"79",756511.15768,"807",27694.1223004074
"79",203258.17982,"1249",150619.37066367
"79",248232.68792,"1511",1774.8817894179
"79",640385.08337,"1183",164252.091686929
"79",273248.99786,"1729",90832.1754482621
"95",320963.70455,"1415",228758.667873568
"95",701027.99826,"1182",82277.2026371392
"95",112487.98786,"1310",75304.6751319028
"95",111509.79071,"911",47738.3852125627
"95",193403.50678,"1639",114225.108732199
"95",556802.69124,"1750",6020.2301005311
"95",151473.06856,,151167.754606102
"95",162877.64849,"1620",78924.5201660636
"95",172226.88332,"990",37864.3643093893
"95",141942.6283,"1493",67625.0013955231
"95",154375.53329,"967",126432.629363641
"93",556802.69124,"1750",83843.8033437363
"93",172226.88332,"990",90942.0256224638
"93",141942.6283,"1493",74337.272675456
"93",154375.53329,"967",26416.4883672725
"93",177698.9247,"771",68217.1524155866
"93",230031.64699,"1290",230063.713848201
"93",84369.72684,"942",49738.7003792847
"93",143152.70041,"1141",143084.926459947
"93",93300.10935,"714",48833.3299456775
"93",137951.57113,"988",21101.0496261226
"92",162877.64849,"1620",1809.8515327573
"92",154375.53329,"967",1547.6435606722
"92",100484.65005,"548",80999.1233175826
"92",177698.9247,"771",109506.227762068
"92",84369.72684,"942",34642.6935800649
"92",143152.70041,"1141",87.6951504811
"92",108725.97606,"895",108740.919621681
"92",490565.73056,"782",33548.1854096111
"92",51464.1844,"1353",44176.434563357
"92",84784.28612,"1077",84795.902196464
"92",93300.10935,"714",44479.7496123395
"92",70615.42186,"722",70625.1607678804
"92",137951.57113,"988",99822.7012259052
"92",187783.50809,"1326",87900.2735388745
"92",638169.69864,"951",188872.358562352
"92",179150.32165,"813",109994.324023081
"92",626833.53347,"1319",123545.462393509
"77",505716.57444,"860",9643.8220283072
"77",756511.15768,"807",279402.739377973
"77",640385.08337,"1183",395423.27562409
"77",273248.99786,"1729",110584.283407975
"77",3889644.71708,"1145",123172.960158561
"80",1710284.04973,"2441",38744.0270878365
"80",3889644.71708,"1145",118037.465565772
"80",631887.69762,"965",274172.360028274
"80",319752.0581,"1712",234673.909038231
"80",175258.52639,"1296",161.9708725363
"80",76641.76266,"1016",10842.2339983368
"80",423189.76535,"1028",73378.1628781585
"52",336189.87048,"773",4696.5854098387
"52",123867.877,"1537",12973.8556859484
"52",162668.34903,"1130",10557.3417103961
"52",256806.85867,"1150",204127.880938011
"52",177516.47998,"1260",80302.7419726397
"52",384414.93988,"1363",291321.992051835
"52",266355.51765,"1323",101.9315217473
"52",210692.49856,"1111",53292.3890262808
"37",223009.37127,"1668",7307.9698020142
"37",118848.3624,"1592",14489.0791852945
"37",106572.13407,"1047",50216.5520582873
"37",2285205.74934,"577",358838.198151818
"37",191477.47552,"2056",145560.946664616
"37",463274.80407,"1087",303090.423890489
"37",106872.27915,"650",106886.091391648
"37",306350.42537,"446",306390.225126753
"37",410550.98448,"723",407211.875077596
"37",335756.65206,"1267",8174.7850760103
"81",4348101.54584,"301",659340.449441913
"81",1210071.19459,"761",445824.233880814
"81",1081567.50776,"1138",16806.1356193565
"81",406544.29782,"1476",342938.314339605
"81",220894.17862,"1130",220924.537296762
"81",106515.53759,"1218",103363.088060442
"81",505716.57444,"860",107642.394122513
"81",100568.22368,"836",20947.785967755
"62",203258.17982,"1249",24953.9413138262
